District/Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,NA,263710,NA,NA,NA,NA,325649,19131,47055,47796,11190,6269,NA,47274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18587,152062,NA,NA,NA,NA,NA,NA,NA,NA,6800,13598,NA,NA,NA,NA,929,NA,50,1754,10,10,10,10,10,5,5,2,NA
Pathankot,NA,NA,NA,NA,NA,19,NA,NA,NA,38000,7094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,NA,NA,NA,NA,NA,NA,304,31462,5000,38440,2845,NA,74703,NA,26300,NA,NA,NA,NA,NA,NA,NA,9408,NA,NA,27355,227720,NA,NA,NA,NA,NA,NA,NA,NA,143,1550,242,NA,NA,35,293,4438,3973,1452,51,51,51,51,51,44,44,40,NA
Tarn Taran,NA,NA,2664,NA,100,NA,166666,NA,NA,20097,195176,961500,NA,74703,7801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,NA,1037758,116517,NA,NA,NA,228621,NA,111318,NA,111720,60806,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150467,NA,NA,NA,NA,63408,NA,NA,NA,NA,31545,NA,NA,NA,NA,2286,NA,4448,1,10,10,10,10,10,5,5,5,5
Jalandhar,NA,268265,NA,NA,NA,NA,62655,NA,6186,NA,75121,NA,6493,81729,NA,NA,103,103,NA,NA,NA,NA,NA,NA,11000,NA,72607,NA,NA,NA,NA,118227,NA,NA,NA,NA,112500,NA,NA,NA,NA,NA,NA,7581,NA,13,13,13,13,12,NA,NA,NA,NA
SBS Nagar,NA,4411,58023,NA,NA,NA,NA,NA,10125,NA,4720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,NA,97244,NA,NA,NA,NA,43613,NA,NA,NA,22540,22540,NA,2632,29970,NA,NA,NA,NA,NA,NA,NA,NA,726,NA,2703,40683,NA,NA,NA,NA,NA,NA,NA,NA,35,153427,5,49,29,2345,1150,NA,6791,1368,66,66,66,69,71,108,119,138,123
Rupnagar,NA,84958,NA,NA,NA,NA,NA,NA,NA,NA,67020,12618,NA,32530,1769,NA,NA,NA,2648,NA,NA,955,NA,980,NA,NA,1624,NA,NA,NA,NA,1405,NA,NA,NA,NA,1800,NA,450,NA,NA,NA,NA,3153,66,17,17,25,25,25,23,24,30,42
SAS Nagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000,NA,NA,2004,2944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,NA,36993,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,408,5697,NA,NA,NA,NA,7800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65816,NA,21,21,21,21,21,NA,NA,NA,NA
Ferozepur,6190,159552,139532,NA,NA,7048,NA,NA,178514,NA,226050,184183,179879,179879,NA,NA,NA,NA,NA,NA,NA,2079,NA,4094,7500,12940,99908,NA,NA,NA,NA,12244,NA,NA,NA,7079,22500,NA,8632,NA,6674,NA,NA,63947,NA,14,14,14,18,19,4,4,4,4
Fazilka,586079,6396,3914,NA,NA,NA,53281,193949,173443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,NA,NA,NA,NA,NA,NA,NA,144878,NA,74542,NA,NA,NA,NA,10995,NA,NA,485,NA,NA,NA,NA,NA,NA,29325,NA,140050,NA,NA,NA,NA,11678,NA,NA,NA,40194,69705,NA,NA,NA,4144,NA,NA,12899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Muktsar Sahib,NA,45572,NA,NA,NA,7510,NA,NA,494855,494355,767378,13124,NA,56171,340160,2997,3900,17797,14136,NA,NA,NA,NA,NA,226753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,NA,5846,20461,NA,NA,NA,NA,NA,23552,18,131489,17979,NA,25132,NA,5333,NA,NA,NA,NA,NA,NA,NA,NA,NA,2530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564500,NA,NA,45808,1906,3509,1566,26321,NA,NA,NA,NA,NA,NA,NA,NA,657,NA,NA,NA,NA,NA,NA,NA,NA,5280,30048,5356,27072,NA,NA,417,NA,12085,2281,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mansa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26484,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,77,43084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,637,94381,NA,NA,NA,NA,NA,NA,NA,NA,NA,624,16909,40391,1855,NA,9647,378800,NA,NA,NA,48512,3551,13348,17554,NA,68337,NA,NA,NA,NA,7786,NA,NA,NA,NA,36225,NA,NA,NA,NA,1484,NA,3922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barnala,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,22000,22,887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,57,3204175,3788,NA,NA,NA,NA,NA,NA,NA,NA,658733,604,56831,159166,159166,269,93290,NA,NA,NA,7570,NA,8416,74800,4272,123635,NA,NA,NA,NA,28488,NA,NA,NA,NA,NA,NA,33606,NA,1237,NA,NA,35823,NA,9,9,9,9,9,9,9,9,9
Fatehgarh Sahib,NA,4894,88,NA,NA,NA,5265,NA,NA,NA,7682,NA,NA,NA,NA,1534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,592963,5314155,345225,NA,246,14577,886054,389420,1050048,713248,2232525,2065182,279475,645084,582995,172539,15485,517010,16784,NA,NA,77116,12959,27564,366932,68872,1126531,NA,NA,283400,NA,251086,NA,NA,NA,59531,472898,5603,69809,29,14435,6559,4438,220495,6922,211,211,219,226,228,198,210,228,183
